#ORDENANDOS
#Tamanho	 Tempo		 Comparacao	 trocas
101		 0.000010	100		200
1001		 0.000006	1000		2000
10001		 0.000055	10000		20000
50001		 0.000277	50000		100000
100001		 0.000566	100000		200000
